Designator,Footprint,Comment,JLCPCB Part#(optional)
C0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,
C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,
C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,
C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,
C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,
C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uf,
C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22p,
C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22p,
C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2uF,
D_SPACE1,D_SOD-123,1N4148W,C81598
D_SPACE10,D_SOD-123,1N4148W,C81598
D_SPACE11,D_SOD-123,1N4148W,C81598
D_SPACE12,D_SOD-123,1N4148W,C81598
D_SPACE13,D_SOD-123,1N4148W,C81598
D_SPACE14,D_SOD-123,1N4148W,C81598
D_SPACE15,D_SOD-123,1N4148W,C81598
D_SPACE16,D_SOD-123,1N4148W,C81598
D_SPACE17,D_SOD-123,1N4148W,C81598
D_SPACE18,D_SOD-123,1N4148W,C81598
D_SPACE19,D_SOD-123,1N4148W,C81598
D_SPACE2,D_SOD-123,1N4148W,C81598
D_SPACE21,D_SOD-123,1N4148W,C81598
D_SPACE22,D_SOD-123,1N4148W,C81598
D_SPACE23,D_SOD-123,1N4148W,C81598
D_SPACE24,D_SOD-123,1N4148W,C81598
D_SPACE25,D_SOD-123,1N4148W,C81598
D_SPACE26,D_SOD-123,1N4148W,C81598
D_SPACE27,D_SOD-123,1N4148W,C81598
D_SPACE28,D_SOD-123,1N4148W,C81598
D_SPACE29,D_SOD-123,1N4148W,C81598
D_SPACE3,D_SOD-123,1N4148W,C81598
D_SPACE30,D_SOD-123,1N4148W,C81598
D_SPACE31,D_SOD-123,1N4148W,C81598
D_SPACE32,D_SOD-123,1N4148W,C81598
D_SPACE34,D_SOD-123,1N4148W,C81598
D_SPACE35,D_SOD-123,1N4148W,C81598
D_SPACE36,D_SOD-123,1N4148W,C81598
D_SPACE37,D_SOD-123,1N4148W,C81598
D_SPACE38,D_SOD-123,1N4148W,C81598
D_SPACE39,D_SOD-123,1N4148W,C81598
D_SPACE4,D_SOD-123,1N4148W,C81598
D_SPACE40,D_SOD-123,1N4148W,C81598
D_SPACE41,D_SOD-123,1N4148W,C81598
D_SPACE42,D_SOD-123,1N4148W,C81598
D_SPACE43,D_SOD-123,1N4148W,C81598
D_SPACE44,D_SOD-123,1N4148W,C81598
D_SPACE45,D_SOD-123,1N4148W,C81598
D_SPACE46,D_SOD-123,1N4148W,C81598
D_SPACE47,D_SOD-123,1N4148W,C81598
D_SPACE5,D_SOD-123,1N4148W,C81598
D_SPACE6,D_SOD-123,1N4148W,C81598
D_SPACE8,D_SOD-123,1N4148W,C81598
D_SPACE9,D_SOD-123,1N4148W,C81598
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Polyfuse_Small,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,
SW1,SW_SPST_SKQG_WithoutStem,SW_PUSH,C318884
SW2,SW_SPST_SKQG_WithoutStem,SW_PUSH,C318884
U1,SOT-23-6_Handsoldering,SRV05-4,
U2,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias,ATmega32U4-M,
UR1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22ohm,
UR2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22ohm,
UR3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,
UR4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,
UR5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,
UR6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.7k,
UR7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4.7k,
UR8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100k,
USB1,HRO-TYPE-C-31-M-12-HandSoldering,HRO-TYPE-C-31-M-12,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,Crystal_GND24_Small,
